Segments,Balance,Asus,Toshiba,HP
65536,0.5,"10.812[S], 7485[inter], 20298[I/O]","15.119[S], 7565[inter], 47340[I/O]","2983.358[S], 29385[inter], 5248249[I/O]"
65536,0.75,"11.245[S], 3165[inter], 20160[I/O]","7.344[S], 9962[inter], 47471[I/O]","1930.658[S], 27297[inter], 3000016[I/O]"
65536,0.25,"6.701[S], 16007[inter], 20596[I/O]","10.502[S], 13203[inter], 47785[I/O]","5368.192[S], 57387[inter], 8716066[I/O]"
65536,0.5,"11.339[S], 8328[inter], 20356[I/O]","16.277[S], 8522[inter], 47486[I/O]","6221.778[S], 38467[inter], 7248671[I/O]"
65536,0.75,"10.617[S], 3614[inter], 20211[I/O]","9.209[S], 10100[inter], 47604[I/O]","3918.464[S], 22897[inter], 4962664[I/O]"
131072,0.25,"27.31[S], 22490[inter], 40851[I/O]","42.937[S], 22430[inter], 95230[I/O]",
131072,0.5,"48.744[S], 10221[inter], 40446[I/O]","33.015[S], 34973[inter], 96012[I/O]",
131072,0.75,"51.918[S], 3549[inter], 40222[I/O]","15.513[S], 19549[inter], 94901[I/O]",
131072,0.25,"38.162[S], 24510[inter], 40943[I/O]","51.36[S], 24703[inter], 95481[I/O]",
131072,0.5,"67.816[S], 11832[inter], 40553[I/O]","38.137[S], 37250[inter], 96323[I/O]",
131072,0.75,"70.802[S], 5466[inter], 40365[I/O]","18.74[S], 21317[inter], 95287[I/O]",
262144,0.25,"180.142[S], 31836[inter], 81295[I/O]","83.186[S], 105803[inter], 194651[I/O]",
262144,0.5,"279.183[S], 10152[inter], 80572[I/O]","45.581[S], 71977[inter], 192228[I/O]",
262144,0.75,"224.298[S], 2393[inter], 80307[I/O]","26.71[S], 35155[inter], 189641[I/O]",
262144,0.25,"164.196[S], 38244[inter], 81566[I/O]","97.655[S], 114479[inter], 195454[I/O]",
262144,0.5,"240.11[S], 20278[inter], 81007[I/O]","58.508[S], 77580[inter], 192991[I/O]",
262144,0.75,"277.616[S], 9175[inter], 80683[I/O]","34.434[S], 41633[inter], 190592[I/O]",
524288,0.25,"492.246[S], 30038[inter], 161636[I/O]","106.818[S], 215784[inter], 389933[I/O]",
524288,0.5,"781.615[S], 4474[inter], 160720[I/O]","87.544[S], 132841[inter], 383978[I/O]",
524288,0.75,"767.519[S], 584[inter], 160537[I/O]","52.566[S], 66510[inter], 379216[I/O]",
524288,0.25,"491.729[S], 61659[inter], 162780[I/O]","145.922[S], 251511[inter], 392741[I/O]",
524288,0.5,"840.52[S], 33296[inter], 161887[I/O]","101.084[S], 162905[inter], 386771[I/O]",
524288,0.75,"967.853[S], 13721[inter], 161283[I/O]","60.969[S], 78155[inter], 381090[I/O]",
1048576,0.25,"2140.449[S], 13781[inter], 321967[I/O]",,
1048576,0.5,"3402.604[S], 554[inter], 321286[I/O]",,
1048576,0.75,"2949.434[S], 11[inter], 321125[I/O]",,
1048576,0.25,"2161.798[S], 96990[inter], 324941[I/O]",,
1048576,0.5,"3493.733[S], 49199[inter], 323410[I/O]",,
1048576,0.75,"3244.99[S], 21697[inter], 322536[I/O]",,
2097152,0.25,"9213.752[S], 1499[inter], 643162[I/O]",,
